Game,Trophy,Team,Team,First Year,Latest Year,Meetings
Florida–Georgia,Okefenokee Oar,Florida,Georgia,1915,2024,102
Florida–Kentucky,,Florida,Kentucky,1917,2024,75
Florida–LSU,,Florida,LSU,1937,2024,71
Florida–Miami,"Florida Cup, Seminole War Canoe",Florida,Miami (FL),1938,2024,57
Florida–Tennessee,,Florida,Tennessee,1916,2024,54
Florida State–Miami,Florida Cup,Florida State,Miami (FL),1951,2024,69
Florida State–Virginia,Jefferson-Eppes Trophy,Florida State,Virginia,1992,2019,19
Frank Leahy Memorial Bowl,Ireland Trophy,Boston College,Notre Dame,1975,2022,27
Fresno State–Hawaii,Golden Screwdriver,Fresno State,Hawaii,1938,2024,56
Fresno State–San Diego State,Oil Can,Fresno State,San Diego State,1923,2023,62
Friends of Coal Bowl,,Marshall,West Virginia,1911,2012,12
Georgia–South Carolina,,Georgia,South Carolina,1894,2023,76
Georgia–Tennessee,,Georgia,Tennessee,1899,2024,54
Georgia–Vanderbilt,,Georgia,Vanderbilt,1893,2023,83
Georgia Tech–Tennessee,,Georgia Tech,Tennessee,1902,2017,44
Georgia Tech–Vanderbilt,Gold Cowbell,Georgia Tech,Vanderbilt,1892,2024,39
Governors' Trophy Game,The Governors' Perpetual Trophy,Oregon,Saint Mary's,1929,1950,10
Green Line Rivalry,,Boston College,Boston University,1893,1962,32
Hawaii–Wyoming,Paniolo Trophy,Hawaii,Wyoming,1978,2023,28
Holy War,,BYU,Utah,1896,2024,102
Houston–Rice,Bayou Bucket,Houston,Rice,1971,2024,46
Houston–SMU,,Houston,SMU,1975,2022,37
Houston–Texas Tech,,Houston,Texas Tech,1951,2023,35
Houston–Tulsa,,Houston,Tulsa,1950,2022,46
I-35 Rivalry,,Texas State,UTSA,2012,2024,6
Illinois–Indiana,,Illinois,Indiana,1899,2023,73
Illinois–Michigan,,Illinois,Michigan,1898,2024,98
Illinois–Missouri,,Illinois,Missouri,1896,2010,24
Illinois–Northwestern,Land of Lincoln Trophy,Illinois,Northwestern,1892,2024,118
Illinois–Ohio State,Illibuck Trophy,Illinois,Ohio State,1902,2017,103
Illinois–Purdue,Purdue Cannon,Illinois,Purdue,1890,2024,100
Indiana–Kentucky,The Bourbon Barrel,Indiana,Kentucky,1893,2005,36
Indiana–Michigan State,Old Brass Spittoon,Indiana,Michigan State,1922,2024,71
Indiana–Purdue,Old Oaken Bucket,Indiana,Purdue,1891,2024,126
Iowa–Iowa State,Cy-Hawk Trophy,Iowa,Iowa State,1894,2024,71
Iowa–Minnesota,Floyd of Rosedale,Iowa,Minnesota,1891,2024,118
Iowa–Nebraska,Heroes Trophy,Iowa,Nebraska,1891,2024,55
Iowa–Wisconsin,Heartland Trophy,Iowa,Wisconsin,1894,2024,98
Iowa State–Missouri,Telephone Trophy,Iowa State,Missouri,1896,2011,104
Iron Bowl,"James E. Foy, V-ODK Sportsmanship Trophy",Alabama,Auburn,1893,2024,89
Kansas–Nebraska,,Kansas,Nebraska,1892,2010,117
Kansas State–Nebraska,,Kansas State,Nebraska,1911,2010,95
Kentucky–Louisville,Governor's Cup,Kentucky,Louisville,1912,2024,36
Kentucky–Tennessee,,Kentucky,Tennessee,1893,2024,120
Kentucky–Vanderbilt,,Kentucky,Vanderbilt,1896,2024,97
Keystone Classic,,Penn State,Pittsburgh,1893,2019,100
Lone Star Showdown,,Texas,Texas A&M,1894,2024,119
Louisiana–Louisiana Tech,,Louisiana,Louisiana Tech,1910,2015,87
Louisiana Tech–Louisiana–Monroe,,Louisiana Tech,Louisiana–Monroe,1953,2000,43
Louisville–Memphis,,Louisville,Memphis,1948,2013,43
Louisville–Miami,Schnellenberger Trophy,Louisville,Miami (FL),1933,2024,17
LSU–Mississippi State,,LSU,Mississippi State,1896,2023,117
LSU–Texas A&M,,LSU,Texas A&M,1899,2024,63
Magnolia Bowl,Magnolia Bowl Trophy,LSU,Ole Miss,1894,2024,113
Maryland–Penn State,,Maryland,Penn State,1917,2024,48
Maryland–Virginia,,Maryland,Virginia,1919,2024,80
Maryland–West Virginia,,Maryland,West Virginia,1919,2021,53
Miami–Nebraska,,Miami (FL),Nebraska,1951,2015,12
Miami–Virginia Tech,,Miami (FL),Virginia Tech,1953,2024,41
Michigan–Michigan State,Paul Bunyan Trophy,Michigan,Michigan State,1898,2024,117
Michigan–Minnesota,Little Brown Jug,Michigan,Minnesota,1892,2024,106
Michigan–Northwestern,George Jewitt Trophy,Michigan,Northwestern,1892,2024,77
Michigan–Notre Dame,,Michigan,Notre Dame,1887,2019,44
Michigan–Penn State,,Michigan,Penn State,1993,2023,27
Michigan State–Notre Dame,Megaphone Trophy,Michigan State,Notre Dame,1897,2017,79
Michigan State–Penn State,Land Grant Trophy,Michigan State,Penn State,1914,2023,38
Mid–South Rivalry,,Memphis,Ole Miss,1921,2019,64
Minnesota–Nebraska,$5 Bits of Broken Chair Trophy,Minnesota,Nebraska,1900,2023,64
Minnesota–Penn State,Governor's Victory Bell,Minnesota,Penn State,1993,2024,17
Minnesota–Wisconsin,Paul Bunyan's Axe,Minnesota,Wisconsin,1890,2024,134
Missouri–Nebraska,Victory Bell,Missouri,Nebraska,1892,2010,104
Missouri–Oklahoma,Tiger–Sooner Peace Pipe,Missouri,Oklahoma,1902,2024,97
Modern Day Hate,,Georgia Southern,Georgia State,2014,2024,11
Navy–SMU,Gansz Trophy,Navy,SMU,1930,2023,25
Navy–Notre Dame,Rip Miller Trophy,Navy,Notre Dame,1927,2024,97
NC State–Wake Forest,,NC State,Wake Forest,1895,2024,118
Nebraska–Oklahoma,,Nebraska,Oklahoma,1912,2023,89
Nebraska–Wisconsin,Freedom Trophy,Nebraska,Wisconsin,1901,2024,18
North Carolina–NC State,,North Carolina,NC State,1894,2024,114
North Carolina–Wake Forest,,North Carolina,Wake Forest,1888,2024,111
Northwestern–Notre Dame,,Northwestern,Notre Dame,1889,2018,49
Notre Dame–Pittsburgh,,Notre Dame,Pittsburgh,1909,2023,73
Notre Dame–Purdue,Shillelagh Trophy,Notre Dame,Purdue,1896,2024,88
